dorms,banho,vagas,bairro,area,valor
3,4,2,6,192,1350000
3,4,1,6,180,1650000
1,1,1,14,99,270000
4,4,1,5,197,870000
4,5,1,6,187,1600000
4,5,1,6,216,1550000
5,5,1,6,245,2000000
3,3,4,10,143,415000
4,4,2,6,270,1980000
3,4,1,6,150,1250000
6,8,2,6,370,3500000
3,4,1,6,150,1150000
3,4,1,6,280,1300000
3,3,1,14,150,630000
3,3,2,6,220,950000
3,4,1,6,173,1300000
4,4,1,5,320,4000000
2,2,4,4,99,270000
4,4,1,5,320,4000000
2,2,4,4,99,270000
4,5,1,6,204,890000
3,4,1,6,280,1300000
4,4,2,6,243,950000
4,5,1,6,250,1700000
5,3,1,5,205,530000
6,8,2,6,500,6240000
2,1,0,1,42,300000
2,5,2,6,144,950000
5,5,3,6,404,1200000
2,2,2,11,120,233200
3,4,1,6,180,900000
2,3,2,6,180,1550000
4,4,2,5,285,1850000
3,2,6,5,136,745000
4,4,4,6,300,2100000
2,1,1,4,67,380000
6,7,4,6,550,3800000
4,4,2,6,310,2100000
3,2,1,6,254,1400000
3,4,2,6,150,860000
2,1,1,9,75,295000
6,8,2,6,650,9000000
4,5,2,6,280,2600000
3,4,2,6,150,1500000
6,7,2,6,320,4500000
4,6,2,6,330,2250000
3,4,2,6,150,980000
4,5,2,6,201,1700000
2,4,1,6,330,2600000
2,3,2,6,180,1550000
3,2,6,5,136,745000
4,4,4,6,300,2100000
2,1,1,4,67,380000
6,7,4,6,550,3800000
4,4,2,6,310,2100000
3,2,1,6,254,1400000
3,4,2,6,150,860000
2,1,1,9,75,295000
4,5,2,6,280,2600000
3,4,2,6,150,1500000
6,7,2,6,320,4500000
4,6,2,6,330,2250000
3,4,2,6,150,980000
4,5,2,6,201,1700000
2,2,0,4,69,175000
4,1,2,6,205,950000
3,4,1,6,165,720000
3,3,1,6,180,1590000
4,1,2,6,200,1850000
2,4,1,6,330,2600000
4,5,2,6,234,1500000
4,5,2,6,300,2700000
4,4,3,14,200,780000
4,2,1,6,183,1100000
5,6,2,6,300,1700000
3,2,2,6,150,1200000
4,4,2,6,380,1980000
4,5,2,6,225,1250000
3,2,2,6,200,375000
3,3,1,6,180,1590000
4,4,1,6,220,1550000
4,5,2,6,280,1800000
3,2,2,6,150,1200000
3,2,2,5,190,650000
5,6,2,5,300,1700000
3,1,3,5,105,265000
2,3,1,6,170,940000
3,3,1,6,225,980000
3,2,4,14,340,998000
5,6,2,6,300,3000000
4,5,2,6,222,1200000
3,4,1,6,200,1250000
2,2,1,6,120,345000
4,2,2,6,152,990000
4,4,2,6,179,1400000
3,3,2,6,150,850000
2,3,2,6,120,489000
3,4,1,6,150,850000
4,5,2,6,300,2900000
2,5,2,6,330,1800000
4,3,4,5,200,625000
2,3,1,6,150,650000
3,4,2,6,170,1250000
4,5,1,6,330,1950000
4,2,2,6,260,1800000
5,5,2,6,200,2000000
2,1,1,5,82,250000
3,4,2,6,165,850000
4,5,1,6,200,1500000
4,4,2,6,300,1980000
3,3,6,6,270,412000
3,1,4,5,143,420000
3,4,2,6,168,780000
4,5,2,6,230,1250000
3,1,3,4,129,370000
6,8,2,6,560,5650000
3,3,2,6,175,980000
4,1,2,6,163,750000
4,2,1,6,140,880000
6,1,3,6,320,4500000
3,3,2,6,190,750000
5,6,2,6,330,3000000
3,4,1,6,177,890000
3,3,2,14,176,200000
4,5,1,6,250,1900000
4,6,2,6,288,1800000
4,3,1,6,332,1500000
4,5,2,6,290,1900000
3,2,2,11,96,319000
4,5,2,6,188,960000
3,4,2,6,200,1350000
5,6,2,6,320,2800000
4,2,4,6,360,2900000
2,4,1,6,183,850000
4,1,2,6,200,1550000
4,1,2,6,320,2600000
4,5,2,6,175,980000
3,3,2,6,200,2040000
4,4,2,6,330,3500000
3,3,1,6,255,1550000
4,5,2,6,288,1500000
3,2,2,5,180,790000
3,4,2,5,183,790000
4,1,3,6,240,1400000
3,3,2,6,200,1500000
3,3,1,5,300,897000
5,6,2,6,375,2390000
3,2,1,6,140,850000
3,3,2,6,200,1550000
5,7,6,6,350,3280000
4,5,2,6,200,996000
